REF_AREA: Reference area,TIME_PERIOD: Time period,OBS_VALUE,CLIMATE_HAZARDS
Greece,2010,4.935184401,drought
Greece,2010,4.914086314,drought
Greece,2011,0.936400821,drought
Greece,2011,0.762427942,drought
Greece,2012,-0.656888735,drought
Greece,2012,-0.551411924,drought
Greece,2013,-3.331124885,drought
Greece,2013,-3.450463511,drought
Greece,2014,6.979415817,drought
Greece,2014,7.575524235,drought
Greece,2015,6.037997541,drought
Greece,2015,5.844767803,drought
Greece,2016,0.257229758,drought
Greece,2016,0.363291631,drought
Greece,2017,-2.171304683,drought
Greece,2017,-1.961295322,drought
Greece,2018,3.838728332,drought
Greece,2018,3.064154529,drought
Greece,2019,1.813649606,drought
Greece,2019,1.38965802,drought
Greece,2020,-1.769279654,drought
Greece,2020,-2.561999605,drought
Hungary,2001,2.496624535,drought
Hungary,2001,2.373401741,drought
Hungary,2002,-0.137455626,drought
Hungary,2002,0.097786941,drought
Hungary,2003,-8.905274685,drought
Hungary,2003,-8.723814972,drought
Hungary,2004,2.946994221,drought
Hungary,2004,2.872454291,drought
Hungary,2005,8.140114565,drought
Hungary,2005,7.723773679,drought
Hungary,2006,1.44591929,drought
Hungary,2006,1.292478343,drought
Hungary,2007,-6.226494665,drought
Hungary,2007,-5.96770987,drought
Hungary,2008,-2.978139663,drought
Hungary,2008,-2.81481153,drought
Hungary,2009,-5.868279002,drought
Hungary,2009,-5.623660628,drought
Hungary,2010,14.7300899,drought
Hungary,2010,13.952393,drought
Hungary,2011,-10.24347258,drought
Hungary,2011,-10.11722619,drought
Hungary,2012,-9.408962202,drought
Hungary,2012,-9.144489855,drought
Hungary,2013,0.910849917,drought
Hungary,2013,0.666192935,drought
Hungary,2014,6.746078267,drought
Hungary,2014,6.503162765,drought
Hungary,2015,-3.502439302,drought
Hungary,2015,-3.5647604,drought
Hungary,2016,3.587698834,drought
Hungary,2016,3.409626055,drought
Hungary,2017,-1.316363645,drought
Hungary,2017,-1.236036804,drought
Hungary,2018,-2.544999039,drought
Hungary,2018,-2.390259576,drought
Hungary,2019,-2.565178632,drought
Hungary,2019,-2.371599829,drought
Hungary,2020,-0.484723486,drought
Hungary,2020,-0.4166316,drought
Iceland,2001,1.623537264,drought
Iceland,2002,1.079325124,drought
Iceland,2003,2.177711091,drought
Iceland,2004,-1.552774574,drought
Iceland,2005,-0.656505001,drought
Iceland,2006,1.163215648,drought
Iceland,2007,-0.506818428,drought
Iceland,2008,-3.167449022,drought
Iceland,2009,-0.680990743,drought
Iceland,2010,-2.559951132,drought
Iceland,2011,-0.365845936,drought
Iceland,2012,-4.572765864,drought
Iceland,2013,-0.494042928,drought
Iceland,2014,0.55341417,drought
Iceland,2015,0.743893515,drought
Iceland,2016,0.401475166,drought
Iceland,2017,0.742784449,drought
Iceland,2018,2.71349777,drought
Iceland,2019,-1.974075695,drought
Iceland,2020,0.729357574,drought
Ireland,2001,0.305930676,drought
Ireland,2001,-0.00827028,drought
Ireland,2002,2.87468673,drought
Ireland,2002,2.42019071,drought
Ireland,2003,-2.136827689,drought
Ireland,2003,-2.004129272,drought
Ireland,2004,-0.668014038,drought
Ireland,2004,-0.289233463,drought
Ireland,2005,0.610352768,drought
Ireland,2005,0.587019094,drought
Ireland,2006,-0.756027177,drought
Ireland,2006,-0.893878589,drought
Ireland,2007,-0.16597342,drought
Ireland,2007,-0.264558002,drought
Ireland,2008,2.272236087,drought
Ireland,2008,2.177183379,drought
Ireland,2009,2.861395837,drought
Ireland,2009,2.494129561,drought
Ireland,2010,-1.181359673,drought
Ireland,2010,-1.967122842,drought
Ireland,2011,0.357200022,drought
Ireland,2011,1.229277869,drought
Ireland,2012,3.381926219,drought
Ireland,2012,2.905488056,drought
Ireland,2013,-2.809744976,drought
Ireland,2013,-2.09150273,drought
Ireland,2014,0.935894818,drought
Ireland,2014,1.028949949,drought
Ireland,2015,0.953626125,drought
Ireland,2015,1.533757852,drought
Ireland,2016,0.908636719,drought
Ireland,2016,1.074755541,drought
Ireland,2017,1.492135437,drought
Ireland,2017,0.918288895,drought
Ireland,2018,-3.705782916,drought
Ireland,2018,-3.245623209,drought
Ireland,2019,2.01469306,drought
Ireland,2019,1.597402931,drought
Ireland,2020,-0.178316544,drought
Ireland,2020,-0.342355359,drought
Israel,2001,-3.080180361,drought
Israel,2001,-6.908294067,drought
Israel,2002,1.947042991,drought
Israel,2002,3.166765739,drought
Israel,2003,1.49602316,drought
Israel,2003,-0.565970469,drought
Israel,2004,-2.321035163,drought
Israel,2004,-0.412240791,drought
Israel,2005,-3.066517695,drought
Israel,2005,-6.732816944,drought
Israel,2006,-1.764012413,drought
Israel,2006,-4.746950261,drought
Israel,2007,-0.591706611,drought
Israel,2007,-2.922069623,drought
Israel,2008,-5.520641209,drought
Israel,2008,-7.23930187,drought
Israel,2009,-2.376604946,drought
Israel,2009,-6.950093946,drought
Israel,2010,-8.643332723,drought
Israel,2010,-8.049686545,drought
Israel,2011,2.58623693,drought
Israel,2011,0.666703569,drought
Israel,2012,1.654429332,drought
Israel,2012,-1.164506919,drought
Israel,2013,-2.545889992,drought
Israel,2013,-1.682731887,drought
Israel,2014,-4.439847598,drought
Israel,2014,-3.767519731,drought
Israel,2015,1.905335378,drought
Israel,2015,6.029649077,drought
Israel,2016,-2.554422811,drought
Israel,2016,-3.40355002,drought
Israel,2017,-6.15929461,drought
Israel,2017,-9.757759108,drought
Israel,2018,4.402976787,drought
Israel,2018,5.039190362,drought
Israel,2019,2.580478919,drought
Israel,2019,1.707217853,drought
Israel,2020,6.489902444,drought
Israel,2020,9.470423435,drought
Italy,2001,-4.604975189,drought
Italy,2001,-3.652880391,drought
Italy,2002,5.437877281,drought
Italy,2002,5.230048866,drought
Italy,2003,-4.25116143,drought
Italy,2003,-4.295507043,drought
Italy,2004,3.345897177,drought
Italy,2004,2.298001792,drought
Italy,2005,4.388759089,drought
Italy,2005,3.290026707,drought
Italy,2006,-1.169326411,drought
Italy,2006,-1.452416506,drought
Italy,2007,-1.671429321,drought
Italy,2007,-1.652277254,drought
Italy,2008,1.216271436,drought
Italy,2008,1.289102211,drought
Italy,2009,3.583118957,drought
Italy,2009,2.63848533,drought
Italy,2010,9.162299725,drought
Italy,2010,7.419942416,drought
Italy,2011,-2.616219737,drought
Italy,2011,-2.242396511,drought
Italy,2012,-1.312387362,drought
Italy,2012,-0.90392603,drought
Italy,2013,4.192338915,drought
Italy,2013,3.659975236,drought
Italy,2014,6.709492909,drought
Italy,2014,5.895806349,drought
Italy,2015,0.654823929,drought
Italy,2015,0.529588758,drought
Italy,2016,3.97577557,drought
Italy,2016,3.538304434,drought
Italy,2017,-6.0255263,drought
Italy,2017,-5.448069785,drought
Italy,2018,7.601634761,drought
Italy,2018,6.211660729,drought
Italy,2019,2.718355196,drought
Italy,2019,2.181243779,drought
Italy,2020,-1.878656627,drought
Italy,2020,-1.272057961,drought
Japan,2001,-0.189404308,drought
Japan,2001,-0.022047302,drought
Japan,2002,-0.234090952,drought
